hetionet_gene_id	entrez_id	hetionet_name	current_hgnc_symbol	reason
Gene::101060445	101060445	LOC101060445		entrez_not_in_current_hgnc
Gene::101060458	101060458	LOC101060458		entrez_not_in_current_hgnc
Gene::101060521	101060521	LOC101060521		entrez_not_in_current_hgnc
Gene::101060569	101060569	LOC101060569		entrez_not_in_current_hgnc
Gene::101060580	101060580	LOC101060580		entrez_not_in_current_hgnc
Gene::101060581	101060581	LOC101060581		entrez_not_in_current_hgnc
Gene::101060588	101060588	LOC101060588		entrez_not_in_current_hgnc
Gene::101060596	101060596	LOC101060596		entrez_not_in_current_hgnc
Gene::101060604	101060604	LOC101060604		entrez_not_in_current_hgnc
Gene::101060689	101060689	LOC101060689		entrez_not_in_current_hgnc
Gene::101060696	101060696	LOC101060696		entrez_not_in_current_hgnc
Gene::101060825	101060825	LOC101060825		entrez_not_in_current_hgnc
Gene::101243544	101243544	ERCC6-PGBD3		entrez_not_in_current_hgnc
Gene::101362076	101362076	GVQW1		entrez_not_in_current_hgnc
Gene::101926982	101926982	LOC101926982		entrez_not_in_current_hgnc
Gene::101927016	101927016	LOC101927016		entrez_not_in_current_hgnc
Gene::101927029	101927029	LOC101927029		entrez_not_in_current_hgnc
Gene::101927147	101927147	LOC101927147		entrez_not_in_current_hgnc
Gene::101927160	101927160	LOC101927160		entrez_not_in_current_hgnc
Gene::101927216	101927216	LOC101927216		entrez_not_in_current_hgnc
Gene::101927245	101927245	LOC101927245		entrez_not_in_current_hgnc
Gene::101927250	101927250	LOC101927250		entrez_not_in_current_hgnc
Gene::101927254	101927254	LOC101927254		entrez_not_in_current_hgnc
Gene::101927260	101927260	LOC101927260		entrez_not_in_current_hgnc
Gene::101927262	101927262	LOC101927262		entrez_not_in_current_hgnc
Gene::101927345	101927345	LOC101927345		entrez_not_in_current_hgnc
Gene::101927353	101927353	LOC101927353		entrez_not_in_current_hgnc
Gene::101927375	101927375	LOC101927375		entrez_not_in_current_hgnc
Gene::101927376	101927376	LOC101927376		entrez_not_in_current_hgnc
Gene::101927401	101927401	LOC101927401		entrez_not_in_current_hgnc
Gene::101927403	101927403	LOC101927403		entrez_not_in_current_hgnc
Gene::101927435	101927435	LOC101927435		entrez_not_in_current_hgnc
Gene::101927469	101927469	LOC101927469		entrez_not_in_current_hgnc
Gene::101927506	101927506	LOC101927506		entrez_not_in_current_hgnc
Gene::101927509	101927509	LOC101927509	HDLBP-AS1	no_kirc_feature_for_this_gene
Gene::101927562	101927562	LOC101927562		entrez_not_in_current_hgnc
Gene::101927572	101927572	LOC101927572		entrez_not_in_current_hgnc
Gene::101927601	101927601	GOLGA6L19	GOLGA6L19	no_kirc_feature_for_this_gene
Gene::101927628	101927628	LOC101927628		entrez_not_in_current_hgnc
Gene::101927655	101927655	ZASP		entrez_not_in_current_hgnc
Gene::101927681	101927681	LOC101927681		entrez_not_in_current_hgnc
Gene::101927764	101927764	LOC101927764		entrez_not_in_current_hgnc
