hetionet_gene_id	hetionet_gene_symbol	entrez_id	ensembl_id	gene_symbol
Gene::55327	LIN7C	55327	ENSG00000148943	LIN7C
Gene::57689	LRRC4C	57689	ENSG00000148948	LRRC4C
Gene::196294	IMMP1L	196294	ENSG00000148950	IMMP1L
Gene::6291	SAA4	6291	ENSG00000148965	SAA4
Gene::27315	PGAP2	27315	ENSG00000148985	PGAP2
Gene::64852	TUT1	64852	ENSG00000149016	TUT1
Gene::7356	SCGB1A1	7356	ENSG00000149021	SCGB1A1
Gene::90019	SYT8	90019	ENSG00000149043	SYT8
Gene::7761	ZNF214	7761	ENSG00000149050	ZNF214
Gene::7762	ZNF215	7762	ENSG00000149054	ZNF215
Gene::51144	HSD17B12	51144	ENSG00000149084	HSD17B12
Gene::51074	APIP	51074	ENSG00000149089	APIP
Gene::25891	PAMR1	25891	ENSG00000149090	PAMR1
Gene::8525	DGKZ	8525	ENSG00000149091	DGKZ
Gene::10480	EIF3M	10480	ENSG00000149100	EIF3M
Gene::85456	TNKS1BP1	85456	ENSG00000149115	CNOT12
Gene::10249	GLYAT	10249	ENSG00000149124	GLYAT
Gene::710	SERPING1	710	ENSG00000149131	SERPING1
Gene::338674	OR5F1	338674	ENSG00000149133	OR5F1
Gene::6749	SSRP1	6749	ENSG00000149136	SSRP1
Gene::8501	SLC43A1	8501	ENSG00000149150	SLC43A1
Gene::5795	PTPRJ	5795	ENSG00000149177	PTPRJ
Gene::79096	C11orf49	79096	ENSG00000149179	CSTPP1
Gene::84364	ARFGAP2	84364	ENSG00000149182	ARFGAP2
Gene::10658	CELF1	10658	ENSG00000149187	CELF1
Gene::51501	C11orf73	51501	ENSG00000149196	HIKESHI
Gene::60494	CCDC81	60494	ENSG00000149201	CCDC81
Gene::143686	SESN3	143686	ENSG00000149212	SESN3
Gene::23052	ENDOD1	23052	ENSG00000149218	ENDOD1
Gene::79780	CCDC82	79780	ENSG00000149231	CCDC82
Gene::283212	KLHL35	283212	ENSG00000149243	KLHL35
Gene::26011	TENM4	26011	ENSG00000149256	TENM4
Gene::871	SERPINH1	871	ENSG00000149257	SERPINH1
Gene::726	CAPN5	726	ENSG00000149260	CAPN5
Gene::92105	INTS4	92105	ENSG00000149262	INTS4
Gene::5058	PAK1	5058	ENSG00000149269	PAK1
Gene::6188	RPS3	6188	ENSG00000149273	RPS3
Gene::85463	ZC3H12C	85463	ENSG00000149289	ZC3H12C
Gene::54970	TTC12	54970	ENSG00000149292	TTC12
Gene::4684	NCAM1	4684	ENSG00000149294	NCAM1
Gene::1813	DRD2	1813	ENSG00000149295	DRD2
Gene::91894	C11orf52	91894	ENSG00000149300	C11orf52
Gene::9177	HTR3B	9177	ENSG00000149305	HTR3B
Gene::4863	NPAT	4863	ENSG00000149308	NPAT
Gene::472	ATM	472	ENSG00000149311	ATM
Gene::60496	AASDHPPT	60496	ENSG00000149313	AASDHPPT
Gene::89944	GLB1L2	89944	ENSG00000149328	GLB1L2
Gene::128710	SLX4IP	128710	ENSG00000149346	SLX4IP
Gene::55004	LAMTOR1	55004	ENSG00000149357	LAMTOR1
Gene::283208	P4HA3	283208	ENSG00000149380	P4HA3
Gene::2900	GRIK4	2900	ENSG00000149403	GRIK4
Gene::6768	ST14	6768	ENSG00000149418	ST14
Gene::10525	HYOU1	10525	ENSG00000149428	HYOU1
Gene::92086	GGTLC1	92086	ENSG00000149435	GGTLC1
Gene::100128496	C20orf78	100128496	ENSG00000149443	SCP2D1-AS1
Gene::80332	ADAM33	80332	ENSG00000149451	ADAM33
Gene::9376	SLC22A8	9376	ENSG00000149452	SLC22A8
Gene::57325	CSRP2BP	57325	ENSG00000149474	KAT14
Gene::26007	TKFC	26007	ENSG00000149476	TKFC
Gene::9219	MTA2	9219	ENSG00000149480	MTA2
Gene::51524	TMEM138	51524	ENSG00000149483	TMEM138
Gene::3992	FADS1	3992	ENSG00000149485	FADS1
Gene::117532	TMC2	117532	ENSG00000149488	TMC2
Gene::6094	ROM1	6094	ENSG00000149489	ROM1
Gene::256364	EML3	256364	ENSG00000149499	EML3
Gene::3619	INCENP	3619	ENSG00000149503	INCENP
Gene::22917	ZP1	22917	ENSG00000149506	ZP1
Gene::219990	OOSP2	219990	ENSG00000149507	OOSP2
Gene::932	MS4A3	932	ENSG00000149516	MS4A3
Gene::9651	PLCH2	9651	ENSG00000149527	PLCH2
Gene::79869	CPSF7	79869	ENSG00000149532	CPSF7
Gene::2206	MS4A2	2206	ENSG00000149534	MS4A2
Gene::26229	B3GAT3	26229	ENSG00000149541	B3GAT3
Gene::9538	EI24	9538	ENSG00000149547	EI24
Gene::80071	CCDC15	80071	ENSG00000149548	CCDC15
Gene::1111	CHEK1	1111	ENSG00000149554	CHEK1
Gene::9638	FEZ1	9638	ENSG00000149557	FEZ1
Gene::90952	ESAM	90952	ENSG00000149564	ESAM
Gene::84623	KIRREL3	84623	ENSG00000149571	KIRREL3
Gene::10205	MPZL2	10205	ENSG00000149573	MPZL2
Gene::6327	SCN2B	6327	ENSG00000149575	SCN2B
Gene::51092	SIDT2	51092	ENSG00000149577	SIDT2
Gene::84866	TMEM25	84866	ENSG00000149582	TMEM25
Gene::6876	TAGLN	6876	ENSG00000149591	TAGLN
Gene::57158	JPH2	57158	ENSG00000149596	JPH2
Gene::128853	DUSP15	128853	ENSG00000149599	DUSP15
Gene::149951	COMMD7	149951	ENSG00000149600	COMMD7
Gene::128864	C20orf144	128864	ENSG00000149609	C20orf144
Gene::85449	KIAA1755	85449	ENSG00000149633	KIAA1755
Gene::128497	SPATA25	128497	ENSG00000149634	SPATA25
Gene::128506	OCSTAMP	128506	ENSG00000149635	OCSTAMP
Gene::79980	DSN1	79980	ENSG00000149636	DSN1
Gene::140710	SOGA1	140710	ENSG00000149639	MTCL2
Gene::140894	CNBD2	140894	ENSG00000149646	CNBD2
Gene::391253	SPINT4	391253	ENSG00000149651	SPINT4
Gene::64405	CDH22	64405	ENSG00000149654	CDH22
Gene::149986	LSM14B	149986	ENSG00000149657	LSM14B
Gene::54915	YTHDF1	54915	ENSG00000149658	YTHDF1
Gene::81928	CABLES2	81928	ENSG00000149679	CABLES2
Gene::220064	ORAOV1	220064	ENSG00000149716	LTO1
Gene::170589	GPHA2	170589	ENSG00000149735	GPHA2
Gene::114571	SLC22A9	114571	ENSG00000149742	SLC22A9
Gene::83707	TRPT1	83707	ENSG00000149743	TRPT1
Gene::84304	NUDT22	84304	ENSG00000149761	NUDT22
Gene::83706	FERMT3	83706	ENSG00000149781	FERMT3
Gene::5331	PLCB3	5331	ENSG00000149782	PLCB3
Gene::740	MRPL49	740	ENSG00000149792	MRPL49
Gene::10435	CDC42EP2	10435	ENSG00000149798	CDC42EP2
Gene::2197	FAU	2197	ENSG00000149806	FAU
Gene::7108	TM7SF2	7108	ENSG00000149809	TM7SF2
Gene::738	VPS51	738	ENSG00000149823	VPS51
Gene::6911	TBX6	6911	ENSG00000149922	TBX6
Gene::5531	PPP4C	5531	ENSG00000149923	PPP4C
Gene::226	ALDOA	226	ENSG00000149925	ALDOA
Gene::83723	FAM57B	83723	ENSG00000149926	TLCD3B
Gene::8448	DOC2A	8448	ENSG00000149927	DOC2A
Gene::8479	HIRIP3	8479	ENSG00000149929	HIRIP3
Gene::9344	TAOK2	9344	ENSG00000149930	TAOK2
Gene::124446	TMEM219	124446	ENSG00000149932	TMEM219
Gene::8091	HMGA2	8091	ENSG00000149948	HMGA2
Gene::4314	MMP3	4314	ENSG00000149968	MMP3
Gene::22866	CNKSR2	22866	ENSG00000149970	CNKSR2
Gene::53942	CNTN5	53942	ENSG00000149972	CNTN5
Gene::51348	KLRF1	51348	ENSG00000150045	KLRF1
Gene::51267	CLEC1A	51267	ENSG00000150048	CLEC1A
Gene::283078	MKX	283078	ENSG00000150051	MKX
Gene::143098	MPP7	143098	ENSG00000150054	MPP7
Gene::3688	ITGB1	3688	ENSG00000150093	ITGB1
Gene::53828	FXYD4	53828	ENSG00000150201	FXYD4
Gene::79097	TRIM48	79097	ENSG00000150244	TRIM48
Gene::390157	OR8K1	390157	ENSG00000150261	OR8K1
Gene::390162	OR5M9	390162	ENSG00000150269	OR5M9
Gene::65217	PCDH15	65217	ENSG00000150275	PCDH15
Gene::1489	CTF1	1489	ENSG00000150281	CTF1
Gene::51503	CWC15	51503	ENSG00000150316	CWC15
Gene::2209	FCGR1A	2209	ENSG00000150337	FCGR1A
Gene::84159	ARID5B	84159	ENSG00000150347	ARID5B
Gene::57626	KLHL1	57626	ENSG00000150361	KLHL1
Gene::1006	CDH8	1006	ENSG00000150394	CDH8
Gene::55208	DCUN1D2	55208	ENSG00000150401	DCUN1D2
