ensembl_id	gene_symbol	entrez_id	hetionet_gene_id	hetionet_gene_symbol	mapping_status
ENSG00000155100	OTUD6B	51633	Gene::51633	OTUD6B	mapped
ENSG00000134597	RBMX2	51634	Gene::51634	RBMX2	mapped
ENSG00000100612	DHRS7	51635	Gene::51635	DHRS7	mapped
ENSG00000087302	RTRAF	51637	Gene::51637	C14orf166	mapped
ENSG00000115128	SF3B6	51639	Gene::51639	SF3B6	mapped
ENSG00000005882	PDK2	5164	Gene::5164	PDK2	mapped
ENSG00000175581	MRPL48	51642	Gene::51642	MRPL48	mapped
ENSG00000155957	TMBIM4	51643	Gene::51643	TMBIM4	mapped
ENSG00000137168	PPIL1	51645	Gene::51645	PPIL1	mapped
ENSG00000119801	YPEL5	51646	Gene::51646	YPEL5	mapped
ENSG00000166595	CIAO2B	51647	Gene::51647	FAM96B	mapped
ENSG00000181610	MRPS23	51649	Gene::51649	MRPS23	mapped
ENSG00000067992	PDK3	5165	Gene::5165	PDK3	mapped
ENSG00000090263	MRPS33	51650	Gene::51650	MRPS33	mapped
ENSG00000141378	PTRH2	51651	Gene::51651	PTRH2	mapped
ENSG00000115561	CHMP3	51652	Gene::51652	CHMP3	mapped
ENSG00000101391	CDK5RAP1	51654	Gene::51654	CDK5RAP1	mapped
ENSG00000108551	RASD1	51655	Gene::51655	RASD1	mapped
ENSG00000127952	STYXL1	51657	Gene::51657	STYXL1	mapped
ENSG00000131153	GINS2	51659	Gene::51659	GINS2	mapped
ENSG00000004799	PDK4	5166	Gene::5166	PDK4	mapped
ENSG00000060762	MPC1	51660	Gene::51660	MPC1	mapped
ENSG00000079150	FKBP7	51661	Gene::51661	FKBP7	mapped
ENSG00000056097	ZFR	51663	Gene::51663	ZFR	mapped
ENSG00000065802	ASB1	51665	Gene::51665	ASB1	mapped
ENSG00000005981	ASB4	51666	Gene::51666	ASB4	mapped
ENSG00000013374	NUB1	51667	Gene::51667	NUB1	mapped
ENSG00000081870	IFT25	51668	Gene::51668	HSPB11	mapped
ENSG00000133872	SARAF	51669	Gene::51669	SARAF	mapped
ENSG00000197594	ENPP1	5167	Gene::5167	ENPP1	mapped
ENSG00000159713	TPPP3	51673	Gene::51673	TPPP3	mapped
ENSG00000100628	ASB2	51676	Gene::51676	ASB2	mapped
ENSG00000105926	PALS2	51678	Gene::51678	MPP6	mapped
ENSG00000136960	ENPP2	5168	Gene::5168	ENPP2	mapped
ENSG00000107882	SUFU	51684	Gene::51684	SUFU	mapped
ENSG00000143450	OAZ3	51686	Gene::51686	OAZ3	mapped
ENSG00000154269	ENPP3	5169	Gene::5169	ENPP3	mapped
ENSG00000130332	LSM7	51690	Gene::51690	LSM7	mapped
ENSG00000128534	LSM8	51691	Gene::51691	LSM8	mapped
ENSG00000119203	CPSF3	51692	Gene::51692	CPSF3	mapped
ENSG00000167515	TRAPPC2L	51693	Gene::51693	TRAPPC2L	mapped
ENSG00000112406	HECA	51696	Gene::51696	HECA	mapped
ENSG00000111237	VPS29	51699	Gene::51699	VPS29	mapped
ENSG00000135390	ATP5MC2	517	Gene::517	ATP5G2	mapped
ENSG00000140992	PDPK1	5170	Gene::5170	PDPK1	mapped
ENSG00000166394	CYB5R2	51700	Gene::51700	CYB5R2	mapped
ENSG00000087095	NLK	51701	Gene::51701	NLK	mapped
ENSG00000142619	PADI3	51702	Gene::51702	PADI3	mapped
ENSG00000197142	ACSL5	51703	Gene::51703	ACSL5	mapped
ENSG00000167191	GPRC5B	51704	Gene::51704	GPRC5B	mapped
ENSG00000164035	EMCN	51705	Gene::51705	EMCN	mapped
ENSG00000159348	CYB5R1	51706	Gene::51706	CYB5R1	mapped
ENSG00000197857	ZNF44	51710	Gene::51710	ZNF44	mapped
ENSG00000198843	SELENOT	51714	Gene::51714	SELT	mapped
ENSG00000112210	RAB23	51715	Gene::51715	RAB23	mapped
ENSG00000135932	CAB39	51719	Gene::51719	CAB39	mapped
ENSG00000091137	SLC26A4	5172	Gene::5172	SLC26A4	mapped
ENSG00000087206	UIMC1	51720	Gene::51720	UIMC1	mapped
ENSG00000163833	FBXO40	51725	Gene::51725	FBXO40	mapped
ENSG00000090520	DNAJB11	51726	Gene::51726	DNAJB11	mapped
ENSG00000162368	CMPK1	51727	Gene::51727	CMPK1	mapped
ENSG00000161980	POLR3K	51728	Gene::51728	POLR3K	mapped
ENSG00000084463	WBP11	51729	Gene::51729	WBP11	mapped
ENSG00000101327	PDYN	5173	Gene::5173	PDYN	mapped
ENSG00000100024	UPB1	51733	Gene::51733	UPB1	mapped
ENSG00000198736	MSRB1	51734	Gene::51734	MSRB1	mapped
ENSG00000158987	RAPGEF6	51735	Gene::51735	RAPGEF6	mapped
ENSG00000157017	GHRL	51738	Gene::51738	GHRL	mapped
ENSG00000174827	PDZK1	5174	Gene::5174	PDZK1	mapped
ENSG00000186153	WWOX	51741	Gene::51741	WWOX	mapped
ENSG00000054267	ARID4B	51742	Gene::51742	ARID4B	mapped
ENSG00000122223	CD244	51744	Gene::51744	CD244	mapped
ENSG00000108848	LUC7L3	51747	Gene::51747	LUC7L3	mapped
ENSG00000261371	PECAM1	5175	Gene::5175	PECAM1	mapped
ENSG00000258366	RTEL1	51750	Gene::51750	RTEL1	mapped
ENSG00000131097	HIGD1B	51751	Gene::51751	HIGD1B	mapped
ENSG00000164307	ERAP1	51752	Gene::51752	ERAP1	mapped
ENSG00000137103	TMEM8B	51754	Gene::51754	TMEM8B	mapped
ENSG00000167258	CDK12	51755	Gene::51755	CDK12	mapped
