node_id	node_name	node_kind
Gene::4659	PPP1R12A	Gene
Pathway::PC7_5559	MyD88 dependent cascade initiated on endosome	Pathway
Gene::2246	FGF1	Gene
Gene::7543	ZFX	Gene
Gene::51194	IPO11	Gene
Gene::157807	CLVS1	Gene
Gene::54753	ZNF853	Gene
Gene::282770	OR10AG1	Gene
Gene::50808	AK3	Gene
Gene::84229	DRC7	Gene
Gene::7374	UNG	Gene
Gene::55723	ASF1B	Gene
Gene::3600	IL15	Gene
Pathway::PC7_3670	Endothelins	Pathway
Gene::412	STS	Gene
Gene::23731	TMEM245	Gene
Gene::54808	DYM	Gene
Gene::23481	PES1	Gene
Gene::53836	GPR87	Gene
Gene::7226	TRPM2	Gene
Gene::23370	ARHGEF18	Gene
Pathway::PC7_7472	Signaling by NOTCH2	Pathway
Gene::199870	FAM76A	Gene
Gene::55031	USP47	Gene
Gene::23322	RPGRIP1L	Gene
Gene::84134	TOMM40L	Gene
Gene::80380	PDCD1LG2	Gene
Gene::66035	SLC2A11	Gene
Gene::150274	HSCB	Gene
Gene::2846	LPAR4	Gene
Gene::89944	GLB1L2	Gene
Gene::9858	PPP1R26	Gene
Gene::57343	ZNF304	Gene
Gene::11332	ACOT7	Gene
Gene::55593	OTUD5	Gene
Gene::3084	NRG1	Gene
Gene::1294	COL7A1	Gene
Gene::64859	NABP1	Gene
Pathway::PC7_3853	FOXA2 and FOXA3 transcription factor networks	Pathway
Gene::50805	IRX4	Gene
Gene::392509	ARL13A	Gene
Gene::54674	LRRN3	Gene
Gene::284	ANGPT1	Gene
Gene::7001	PRDX2	Gene
Gene::49	ACR	Gene
Gene::91137	SLC25A46	Gene
Gene::388697	HRNR	Gene
Gene::4070	TACSTD2	Gene
Gene::56670	SUCNR1	Gene
Pathway::PC7_1690	Apoptotic factor-mediated response	Pathway
Gene::1611	DAP	Gene
Gene::5140	PDE3B	Gene
Gene::1075	CTSC	Gene
Gene::824	CAPN2	Gene
Gene::9101	USP8	Gene
Gene::5134	PDCD2	Gene
Gene::55858	TMEM165	Gene
Gene::5922	RASA2	Gene
Gene::10184	LHFPL2	Gene
Gene::1947	EFNB1	Gene
Gene::11024	LILRA1	Gene
Gene::79849	PDZD3	Gene
